LAD22CD,LAD22NM,TotHhold,VehsReg,CarOwnRates,EVReg,EVRate,CarRedincCC,CCCarOwn,CCredCarOwn,EVincCC,EVRateincCC,ChangeEVuptake
E07000223,Adur,27708,31186,1.12552331456619,777,0.0249150259731931,31177,1.12519849862856,-0.002598527501082652,786,0.0252100840336134,0.23574062412104893
E07000026,Allerdale,44891,52723,1.17446704239157,575,0.0109060561804146,52714,1.17426655677085,-0.002405827448709048,584,0.0110784406715356,0.21300426529681538
E07000032,Amber Valley,55757,71120,1.27553491041484,1378,0.0193757030371204,71111,1.27537349570458,-0.0025826353641694357,1387,0.0195044436944538,0.2087018108941061
E07000224,Arun,69000,90746,1.31515942028986,1457,0.016055804112578,90737,1.31502898550725,-0.0024782608695651707,1466,0.0161564063567634,0.1976370640163303
E07000170,Ashfield,52942,62613,1.18267160288618,1030,0.016450257933656,62604,1.18250160553058,-0.002719957689547009,1039,0.0165961185208849,0.23841481932156006
E07000105,Ashford,51786,74388,1.43645000579307,1494,0.0200838844974996,74379,1.43627621364848,-0.0026068821689259223,1503,0.0202070449045442,0.18912841965957566
E07000200,Babergh,39576,57282,1.44739235900546,999,0.0174400335183827,57273,1.44716494845361,-0.0025015160703456144,1008,0.0175996088975801,0.17652343906466467
E09000002,Barking and Dagenham,71494,65404,0.914818026687554,1660,0.0253807106598985,65395,0.91469214199793,-0.0027694631717346515,1669,0.0255214386200991,0.3234801637471124
E09000003,Barnet,143219,138892,0.969787528191092,6802,0.0489733029980128,138883,0.9697246873669,-0.002639314616077423,6811,0.0490409262406037,0.2919860753673144
E08000016,Barnsley,107349,120599,1.12342918890721,1972,0.0163517110423801,120590,1.12334535021286,-0.002515160830561958,1981,0.016427428249206,0.23004865777776104
E07000027,Barrow-in-Furness,32212,30784,0.955668694896312,257,0.0083484927234927,30775,0.955389295914566,-0.002793989817459294,266,0.0086430985183259,0.3117306235905111
E07000066,Basildon,74851,98085,1.31040333462479,2230,0.0227353825763369,98076,1.31028309575022,-0.002645255240410914,2239,0.0228290017027438,0.21671750547578147
E07000084,Basingstoke and Deane,73152,102636,1.40305118110236,2356,0.022954908609065,102627,1.4029281496063,-0.002706692913385762,2365,0.0230443933429473,0.20305425507618952
E07000171,Bassetlaw,52328,64483,1.23228481883504,1149,0.0178186498767117,64474,1.2321128267849,-0.002407888702033286,1158,0.017960449786739,0.2046783178524382
E06000022,Bath and North East Somerset,77377,91853,1.18708401721442,2427,0.0264226535877979,91844,1.18696770358117,-0.0031404680977550965,2436,0.0265229462681692,0.2913492868495175
E06000055,Bedford,66579,98575,1.48057195211703,2237,0.0226933806746132,98566,1.48043677435828,-0.002838732933807936,2246,0.0227865309890734,0.21090964229578055
E09000004,Bexley,94092,103559,1.10061429239468,2180,0.021050801958304,103550,1.10051864132976,-0.0026782298176252542,2189,0.0211393419667603,0.253822085029799
E08000025,Birmingham,413241,427372,1.03419554206867,5975,0.0139807942495063,427363,1.03417376300996,-0.0028748357495988583,5984,0.0140021152928183,0.29530206739668463
E07000129,Blaby,42548,58704,1.37971232490364,1373,0.023388525483783,58695,1.37950079909749,-0.002538309673780141,1382,0.0235450456589887,0.18836616354287197
E06000008,Blackburn with Darwen,58826,64556,1.09740590895182,1038,0.0160790631389801,64547,1.09725291537755,-0.002753884336857761,1047,0.0162204870793828,0.2618638729700544
E06000009,Blackpool,64792,58469,0.902410791455735,758,0.0129641348406848,58460,0.902271885417953,-0.002639214717866363,767,0.0131198576828997,0.31883175343187464
W06000019,Blaenau Gwent,31401,34797,1.10814942199293,219,0.0062936460039658,34788,1.10786280691698,-0.0025795356835769606,228,0.0065537957400327,0.23532295117396912
E07000033,Bolsover,33986,43690,1.28552933560878,777,0.0177843900205997,43681,1.28526452068499,-0.0026481492379214163,786,0.017993681607985,0.2120688007954691
E08000001,Bolton,118813,131419,1.10609950089637,2136,0.016253357581476,131410,1.10602375160967,-0.0026512250342975627,2145,0.0163228344659123,0.24880387804871074
E07000136,Boston,27623,36826,1.33316439199218,453,0.0123010916200511,36817,1.33283857654853,-0.002606523549216127,462,0.0125482101146179,0.2001979337362512
E06000058,"Bournemouth, Christchurch and Poole",169331,200396,1.18345725236371,3795,0.0189375037425897,200387,1.18340410202503,-0.002551216256916866,3804,0.0189831726450686,0.22338859701420774
E06000036,Bracknell Forest,46137,75713,1.64104731560353,1837,0.0242626761586518,75704,1.64085224440254,-0.002926068014825346,1846,0.0243841225810713,0.1947655384408802
E08000032,Bradford,208994,223042,1.06721724068634,3587,0.0160821728643036,223033,1.06717417724911,-0.002712996545355335,3596,0.0161231023072715,0.2670977290781288
E07000067,Braintree,64395,88972,1.38166006677537,1500,0.0168592366137661,88963,1.38152030437146,-0.00251572327044019,1509,0.0169619171799829,0.1862966585405199
E07000143,Breckland,59231,82131,1.3866218703044,1337,0.0162788715588511,82122,1.38646992284446,-0.002583106819064351,1346,0.0163900490727324,0.19007450032158354
