"","LAD22CD","TotHhold","VehsReg","CarOwnRates","EVReg","EVRate","CarRedincCC","CCCarOwn","CCredCarOwn","EVincCC","EVRateincCC","ChangeEVuptake"
"1","E06000001",41869,41723,0.996512933196398,509,0.0121995062675263,41714,0.996297977023573,-0.0124674580238362,518,0.0124175955891166,NA
"2","E06000002",57867,60626,1.047678296784,610,0.0100616897040874,60617,1.04752276772599,-0.0133754989890611,619,0.0102114883367977,NA
"3","E06000003",61636,66945,1.08613472645856,829,0.0123832997236537,66936,1.08598870789798,-0.0128496333311701,838,0.0125192345040859,NA
"4","E06000004",80982,96117,1.1868933837149,1624,0.0168960745757774,96108,1.18678224790694,-0.0133362969548789,1633,0.0169911246605417,NA
"5","E06000005",48946,55090,1.12552608997671,2716,0.0493011435832274,55081,1.12534221386834,-0.0119519470436808,2725,0.0494716967430377,NA
"6","E06000006",55308,64893,1.17330223475808,2349,0.0361980490962045,64884,1.17313950965502,-0.0128552831416793,2358,0.0363412190799106,NA
"7","E06000007",87636,112517,1.2839130037884,2677,0.0237919603259952,112508,1.28381030626683,-0.0130425852389429,2686,0.0238736456639024,NA
"8","E06000008",58776,64556,1.09833945828229,1038,0.0160790631389801,64547,1.09818633455832,-0.013934258881176,1047,0.0162204870793828,NA
"9","E06000009",64797,58469,0.90234115776965,758,0.0129641348406848,58460,0.902202262450422,-0.0130561600074078,767,0.0131198576828997,NA
"10","E06000010",114553,100364,0.876135937077161,1064,0.0106014108644534,100355,0.876057370823985,-0.0130419980271141,1073,0.010691936705329,NA
"11","E06000011",150594,191856,1.27399497987968,3232,0.0168459678091902,191847,1.27393521654249,-0.0125503008087972,3241,0.0168935824194154,NA
"12","E06000012",70112,73417,1.04713886353263,956,0.0130215072803302,73408,1.04701049748973,-0.0136068005476951,965,0.0131455271152039,NA
"13","E06000013",72141,90962,1.26089186454305,1373,0.0150942151667729,90953,1.26076710885627,-0.0126003243647856,1382,0.0151944939200035,NA
"14","E06000014",84877,85324,1.00526644438423,2026,0.0237447845858141,85315,1.00516040859126,-0.0127242951565206,2035,0.0238525012893244,NA
"15","E06000015",104948,117805,1.12250828981972,3181,0.027002249480073,117796,1.12242253306399,-0.0129492701147235,3190,0.0270804859206941,NA
"16","E06000016",123107,131882,1.07127945608292,2954,0.0223988110583704,131873,1.07120634894848,-0.0140365698132519,2963,0.0224684168221181,NA
"17","E06000017",14906,23379,1.56842882060915,534,0.022841011163865,23370,1.56782503689789,-0.0138870253589158,543,0.0232339223824398,0.960096644203738
"18","E06000018",128639,102704,0.798389290961528,1977,0.019249493690606,102695,0.798319327731092,-0.0127333079392719,1986,0.0193386305211498,NA
"19","E06000019",82186,110684,1.34675005475385,2021,0.0182591883199017,110675,1.34664054705181,-0.0127028934368384,2030,0.0183418265929379,NA
"20","E06000020",72094,96173,1.33399450717119,1790,0.0186122924313477,96164,1.33386967015286,-0.0134823979804145,1799,0.0187074299381272,NA
"21","E06000021",107707,115451,1.07189876238313,1764,0.0152792093615473,115442,1.07181520235454,-0.0132860445467797,1773,0.0153582287362595,NA
"22","E06000022",77412,91853,1.18654730532734,2427,0.0264226535877979,91844,1.18643104428254,-0.0133700201519144,2436,0.0265229462681692,NA
"23","E06000023",188810,183407,0.971383930935861,4157,0.0226654380694303,183398,0.971336263969069,-0.0125364122662995,4166,0.0227155000845152,NA
"24","E06000024",92450,125321,1.35555435370471,3108,0.024800312796738,125312,1.35545700378583,-0.0131422390481341,3117,0.0248737162145986,1.05329229493019
"25","E06000025",111971,162627,1.45240285431049,7407,0.0455459425556642,162618,1.45232247635548,-0.0132623625760242,7416,0.0456035272631119,1.00417682576565
"26","E06000026",112465,117977,1.04901080336105,1347,0.0114174796782424,117968,1.04893077846441,-0.0128840083581559,1356,0.0114945451771228,NA
"27","E06000027",61650,68267,1.10733171127332,925,0.0135497385266674,68258,1.10718572587186,-0.012992700729927,934,0.0136831773099518,NA
"28","E06000030",90607,117971,1.30200757115896,6104,0.0517415296979766,117962,1.30190824108513,-0.0131115697462668,6113,0.0518213338080585,NA
"29","E06000031",79001,103126,1.30537588131796,6171,0.0598394197389601,103117,1.30526195870938,-0.0127593321603524,6180,0.0599313407940418,NA
"30","E06000032",76350,91490,1.19829731499673,1104,0.0120668925565636,91481,1.19817943680419,-0.0142632612966601,1113,0.0121663278021906,NA
"31","E06000033",77435,81885,1.05746755343191,1201,0.0146669109116444,81876,1.05735132691935,-0.0124362368438045,1210,0.0147782649584132,NA
"32","E06000034",64963,85334,1.31357849852993,1465,0.017167834626292,85325,1.31343995813001,-0.0135769591921555,1474,0.0172749220636148,NA
"33","E06000035",107200,138169,1.28888992537313,2483,0.0179707459705144,138160,1.28880597014925,-0.0136847014925373,2492,0.0180369279319055,NA
"34","E06000036",46172,75713,1.63980334401802,1837,0.0242626761586518,75704,1.63960842068786,-0.0146192497617604,1846,0.0243841225810713,1.0195205747803
"35","E06000037",65573,95049,1.44951428179281,2481,0.0261023261686078,95040,1.4493770301801,-0.0133134064325256,2490,0.0261992192843089,0.983718057578512
"36","E06000038",65639,67543,1.02900714514237,1312,0.0194246628073968,67534,1.02887003153613,-0.0133000198052987,1321,0.0195602280299104,1.44408402917378
"37","E06000039",50130,69628,1.38894873329344,5411,0.0777129890274028,69619,1.38876920007979,-0.0143626570915619,5420,0.0778511921861534,1.12620389700993
"38","E06000040",60932,91387,1.49981947088558,8707,0.0952761333668903,91378,1.4996717652465,-0.0131458018775028,8716,0.0953829654515808,0.979340967659895
"39","E06000041",67679,103306,1.52641144224944,3231,0.0312760149458889,103297,1.52627846156119,-0.013165088136645,3240,0.0313655637088811,0.951463918163991
"40","E06000042",103408,157255,1.52072373510754,15319,0.0974150265492353,157246,1.52063670122234,-0.0132291505492805,15328,0.0974772173713966,1.06661806224011
"41","E06000043",121401,92365,0.760825693363317,2338,0.0253126184160667,92356,0.76075155888337,-0.0122321891911928,2347,0.0254122589516766,NA
"42","E06000044",86156,83873,0.97350155531826,5184,0.0618077331203129,83864,0.973397093644087,-0.0130577092715539,5193,0.0619209443748882,NA
"43","E06000045",99847,99397,0.995493104449808,1422,0.0143062667887361,99388,0.995402966538804,-0.0133404108285677,1431,0.0143979716065158,NA
"44","E06000046",64775,73311,1.13177923581629,1268,0.0172961765628623,73302,1.13164029332304,-0.0123658818988808,1277,0.0174208422574792,NA
"45","E06000047",232500,251049,1.07978064516129,4068,0.0162040079825054,251040,1.07974193548387,-0.012541935483871,4077,0.0162403750781745,NA
"46","E06000049",169450,230799,1.36204780171142,5989,0.0259489859141504,230790,1.36199468869873,-0.0124284449690174,5998,0.0259888817154915,NA
"47","E06000050",148715,195888,1.3172040480113,4376,0.0223392959242016,195879,1.31714352956998,-0.0128299095585516,4385,0.0223861547886461,NA
"48","E06000051",137367,184391,1.34232384779459,3167,0.017175458672061,184382,1.34225832987544,-0.0126449583961213,3176,0.0172250153213691,NA
"49","E06000052",244388,313048,1.28094669132691,5229,0.0167035087270962,313039,1.28090986464147,-0.0120054994516916,5238,0.0167326859187324,NA
"50","E06000053",942,578,0.613588110403397,48,0.0830449826989619,569,0.604033970276008,-0.00955414012738853,57,0.1,1.69550173010381
"51","E06000054",202518,300694,1.48477666182759,10909,0.0362794069718717,300685,1.48473222133341,-0.0126655408408142,10918,0.0363103037720413,NA
"52","E06000055",66629,98575,1.4794608954059,2237,0.0226933806746132,98566,1.47932581908778,-0.013912860766333,2246,0.0227865309890734,NA
"53","E06000056",110966,173383,1.56248760881712,4253,0.0245295098135342,173374,1.56240650289278,-0.0127336301209379,4262,0.0245825522710887,NA
"54","E06000057",145437,168729,1.16015181831308,3399,0.0201447291218463,168720,1.16008993584851,-0.0121908455207409,3408,0.020199026795716,NA
"55","E06000058",169362,200396,1.18324063249135,3795,0.0189375037425897,200387,1.1831874918813,-0.0123817621426294,3804,0.0189831726450686,NA
"56","E06000059",166560,227320,1.3647934678194,4274,0.0188016892486363,227311,1.36473943323727,-0.0118335734870317,4283,0.0188419441120574,NA
"57","E06000060",212041,322926,1.52294131795266,9661,0.0299170707840186,322917,1.5228988733311,-0.0135398342773332,9670,0.0299456828049226,0.962427652858942
"58","E06000061",141741,196743,1.38804580184985,5133,0.0260898735914365,196734,1.38798230575486,-0.0123182424280907,5142,0.0261366813225913,NA
"59","E06000062",166228,230876,1.38891161537166,4750,0.020573814515151,230867,1.38885747286859,-0.0123444906995211,4759,0.020613510750732,NA
"60","E07000008",47894,41788,0.872510126529419,1796,0.0429788456016081,41779,0.872322211550507,-0.0129661335449117,1805,0.0432024892292963,1.79082042544253
"61","E07000009",36948,52353,1.41693731731082,1166,0.0222718850877696,52344,1.41669373173108,-0.012179278986684,1175,0.0224472251408922,0.935704307116341
"62","E07000010",43521,57477,1.32067277865858,764,0.0132922734311116,57468,1.32046598193975,-0.0113738195353967,773,0.0134507299587604,NA
"63","E07000011",72817,106859,1.46750072098548,2866,0.0268203894852095,106850,1.46737712347391,-0.0129777387148605,2875,0.0269066269852411,NA
"64","E07000012",65458,95096,1.45277888111461,3263,0.0343126945402541,95087,1.45264138837117,-0.0131993033700999,3272,0.0344102305233047,1.00078843868615
"65","E07000026",44910,52723,1.17397016254732,575,0.0109060561804146,52714,1.17376976174571,-0.0120240480961924,584,0.0110784406715356,NA
"66","E07000027",32187,30784,0.956410973374344,257,0.00834849272349272,30775,0.956131357380309,-0.0137011837077081,266,0.00864309851832597,NA
"67","E07000028",49048,56675,1.15550073397488,744,0.0131274812527569,56666,1.15531724025444,-0.0124775729897243,753,0.0132881571284875,NA
"68","E07000029",32752,35862,1.09495603321935,385,0.0107355975684569,35853,1.09468124084025,-0.0134648265754763,394,0.010989010989011,NA
"69","E07000030",24615,32247,1.31005484460695,409,0.0126833503891835,32238,1.30968921389397,-0.0131627056672761,418,0.0129656627066596,1.05909631020706
"70","E07000031",49240,58698,1.19207961007311,1116,0.0190125728304201,58689,1.19189683184403,-0.0107839155158408,1125,0.0191685125234282,NA
"71","E07000032",55769,71120,1.27526044935358,1378,0.0193757030371204,71111,1.27509906937546,-0.0125876382936757,1387,0.0195044436944538,1.04729859098809
"72","E07000033",33995,43690,1.28518899838211,777,0.0177843900205997,43681,1.2849242535667,-0.0127077511398735,786,0.017993681607985,1.05207270560566
"73","E07000034",48059,56879,1.18352441790299,6091,0.10708697410292,56870,1.18333714808881,-0.0129216171788843,6100,0.107260290833641,NA
"74","E07000035",32281,43175,1.33747405594622,905,0.0209612044006948,43166,1.33719525417428,-0.0119884761934265,914,0.021173581671184,0.947331861913288
"75","E07000036",50335,58093,1.1541273467766,973,0.0167490059043258,58084,1.15394854475017,-0.0130525479288765,982,0.0169062580700697,1.19287822692466
"76","E07000037",40775,48163,1.1811894543225,889,0.0184581525237215,48154,1.18096873083998,-0.0130226854690374,898,0.0186481154604922,NA
"77","E07000038",45344,58094,1.28118383909668,1034,0.017798739973147,58085,1.28098535638673,-0.0125044107268878,1043,0.0179561340081947,1.02164692977451
"78","E07000039",42222,63507,1.50412107432144,1249,0.0196671233092415,63498,1.50390791530482,-0.0123632229643314,1258,0.0198113356115844,0.887851160884591
"79","E07000040",62461,86350,1.38246265669778,1623,0.0187955993051534,86341,1.38231856678567,-0.0116712828805175,1632,0.0189015774478238,0.937533099697657
"80","E07000041",49961,54999,1.10083865415024,2242,0.040764377534137,54990,1.10065851364064,-0.013330397710214,2251,0.0409339710134386,NA
"81","E07000042",34982,48106,1.37516437024756,766,0.0159231696669854,48097,1.37490709507747,-0.0110628323137614,775,0.0161129360888187,NA
"82","E07000043",42524,53247,1.25216348415013,815,0.0153060266306083,53238,1.25195183896153,-0.012275420938764,824,0.0154773756081068,NA
"83","E07000044",39333,53375,1.35700302544937,1227,0.0229882903981265,53366,1.35677420995093,-0.0112119594233849,1236,0.0231603800101186,0.887497307507421
"84","E07000045",58399,77878,1.33355023202452,1533,0.0196846349418321,77869,1.33339611979657,-0.0129454271477251,1542,0.0198022344933864,NA
"85","E07000046",29808,39091,1.31142646269458,570,0.0145813614386943,39082,1.31112453032743,-0.0111714975845411,579,0.0148146252846506,0.898155196713364
"86","E07000047",24133,33336,1.3813450462023,580,0.0173986081113511,33327,1.38097211287449,-0.0115609331620602,589,0.0176728276524244,0.888467604150074
"87","E07000061",46772,47211,1.00938595741042,727,0.0153989536336871,47202,1.00919353459335,-0.0117377918412726,736,0.0155922293074593,NA
"88","E07000062",40451,39488,0.976193419198537,485,0.0122822123176661,39479,0.975970927789177,-0.011792044696052,494,0.0125126646403242,NA
"89","E07000063",43683,51457,1.17796396767621,1095,0.0212799036088384,51448,1.17775793787057,-0.0127738479500034,1104,0.0214581430154133,NA
